### Directory of error codes possible when making requests

| Error code | Error description |
| 199401 | Сумма операции меньше минимально допустимой на терминале |
| 199402 | Сумма операции больше максимально допустимой на терминале |
| 199403 | Превышен суточный лимит по сумме операций на терминале |
| 199404 | Превышен месячный лимит по сумме операций на терминале |
| 199405 | Превышен суточный лимит по количеству операций на терминале |
| 199406 | Превышен месячный лимит по количеству операций на терминале |
| 12001 | Technical card debit error. Try again later |
| 10046 | Verification code sending failed. Try again later |
| 10101 | The bank declined the transaction. Please pay with another card. |
| 90404 | The transaction was declined for security reasons. Please try paying again later or use a different card. |
